# Accelerometer Data File
# Started @Sat Jul 02 13:46:35 EDT 2016
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.0047900393m/sec^2; Max Range: 156.96; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: Gravity
# gravity NOT filtered out
# Accuracy: HIGH
0.67 0.881 9.749 40
0.612 0.9 9.71 40
0.651 0.823 9.749 40
0.593 0.842 9.806 40
0.574 0.881 9.768 41
0.555 0.957 9.653 40
0.536 1.053 9.557 40
0.517 1.072 9.5 40
0.478 1.015 9.461 40
0.517 0.995 9.595 40
0.478 0.919 9.73 41
0.44 0.938 9.768 41
0.421 0.957 9.902 39
0.383 0.9 9.844 40
0.44 0.938 9.768 40
0.383 0.919 9.615 40
0.44 0.861 9.768 41
0.555 0.861 9.634 40
0.497 0.881 9.557 40
0.459 0.957 9.691 40
0.421 0.995 9.576 40
0.402 0.995 9.576 41
0.325 0.995 9.653 40
0.344 0.995 9.73 40
0.306 0.995 9.73 40
0.287 0.976 9.71 40
0.363 1.015 9.73 40
0.363 1.072 9.691 40
0.363 1.015 9.768 41
0.363 0.938 9.691 40
0.344 0.957 9.749 40
0.383 1.053 9.691 40
0.363 1.034 9.615 40
0.248 1.053 9.634 40
0.248 1.072 9.595 40
0.268 1.034 9.653 41
0.248 0.957 9.653 40
0.287 0.9 9.71 40
0.287 0.995 9.749 40
0.248 1.015 9.71 40
0.191 1.015 9.653 40
0.191 1.11 9.595 40
0.21 1.091 9.653 40
0.229 1.11 9.653 41
0.21 1.11 9.615 40
0.248 1.072 9.653 40
0.287 1.015 9.634 40
0.248 0.995 9.672 40
0.287 0.995 9.73 40
0.287 0.957 9.691 40
0.21 0.995 9.538 41
0.268 1.034 9.595 40
0.229 1.053 9.691 40
0.229 1.015 9.672 40
0.21 1.015 9.73 40
0.229 0.995 9.73 40
0.21 0.995 9.749 41
0.21 1.034 9.768 40
0.229 1.034 9.672 40
0.191 1.053 9.691 40
0.21 1.11 9.71 40
0.21 1.13 9.672 40
0.172 1.149 9.691 40
0.21 1.11 9.691 41
